test/mean_Q,stats_g/std,train/success_rate,stats_o/mean,stats_o/std,train/episode,test/episode,epoch,test/success_rate,stats_g/mean
-1.3200935,0.7249182,0.0,0.064269,0.6714815,20.0,20.0,0,0.0,0.026840314
-0.7808792,0.7534061,0.0,0.035040088,0.77601016,40.0,40.0,1,1.0,0.0004749298
-0.9759219,0.7490617,0.0,0.024282074,0.78518945,60.0,60.0,2,1.0,-0.011655003
-1.3164141,0.7363784,0.0,0.022519918,0.7847801,80.0,80.0,3,1.0,-0.012723237
-1.609526,0.7386385,0.0,0.018111827,0.78634465,100.0,100.0,4,1.0,-0.01479134
-1.4743958,0.7312653,0.0,0.015453473,0.78206635,120.0,120.0,5,1.0,-0.016706988
-1.468343,0.72574776,0.0,0.013796728,0.78020215,140.0,140.0,6,1.0,-0.01787211
-1.2988651,0.72141314,0.0,0.011658004,0.7782905,160.0,160.0,7,1.0,-0.019629255
-1.2601099,0.718997,0.0,0.009688327,0.7775607,180.0,180.0,8,1.0,-0.020779625
-1.1077801,0.7190276,0.0,0.009421624,0.7778953,200.0,200.0,9,1.0,-0.020680368
-1.0707824,0.71889013,0.0125,0.0077586044,0.7773725,220.0,220.0,10,1.0,-0.021652073
-0.99983484,0.71949583,0.0,0.0070566237,0.7780134,240.0,240.0,11,1.0,-0.022379175
-0.9839629,0.7175902,0.0,0.0070906207,0.77625394,260.0,260.0,12,1.0,-0.022331119
-0.9230267,0.7168895,0.0,0.0071301814,0.7755954,280.0,280.0,13,1.0,-0.021886006
-0.9427515,0.71546113,0.0,0.006705029,0.7756224,300.0,300.0,14,1.0,-0.022385359
-0.92441714,0.7162365,0.0,0.006525645,0.77557546,320.0,320.0,15,1.0,-0.022187158
-0.947336,0.7157358,0.0,0.0066842977,0.775754,340.0,340.0,16,1.0,-0.021897912
