train/success_rate,test/mean_Q,stats_g/mean,stats_g/std,stats_o/mean,epoch,stats_o/std,test/episode,train/episode,test/success_rate
0.0,-1.9734253,-0.041861802,1.3826263,-0.0727419,0,1.3131267,20.0,20.0,0.0
0.0,-1.7900422,-0.08234998,1.2642233,-0.09197678,1,1.2444804,40.0,40.0,0.0
0.0,-1.8398955,-0.07142667,1.1952764,-0.06685327,2,1.1407757,60.0,60.0,0.0
0.05,-2.0060735,-0.07752336,1.1394366,-0.062021993,3,1.0638428,80.0,80.0,0.0
0.0,-2.1339488,-0.014717206,1.1163226,-0.036024105,4,1.0160072,100.0,100.0,0.1
0.05,-2.3764663,-0.0066530313,1.0948532,-0.033648048,5,0.9782629,120.0,120.0,0.0
0.05,-1.8935295,-0.022883136,1.0804338,-0.029349847,6,0.951897,140.0,140.0,0.45
0.05,-2.265843,-0.04465829,1.0763017,-0.029660678,7,0.93234956,160.0,160.0,0.55
0.5,-2.1275067,-0.036135122,1.057531,-0.02716666,8,0.9078636,180.0,180.0,0.3
0.25,-2.3562918,-0.01912154,1.0588456,-0.017031835,9,0.89756817,200.0,200.0,0.7
0.3,-2.3805592,-0.016917411,1.0555694,-0.019428749,10,0.8843311,220.0,220.0,1.0
0.3,-2.1942267,-0.0065749288,1.0506666,-0.0123544,11,0.8727218,240.0,240.0,1.0
0.5,-2.1278665,-0.0147105325,1.0436426,-0.015840381,12,0.8614258,260.0,260.0,0.9
0.4,-1.8152844,-0.0069322363,1.0389149,-0.0126622105,13,0.8503761,280.0,280.0,1.0
0.35,-1.9445813,-0.012333835,1.0338452,-0.01412804,14,0.84020364,300.0,300.0,1.0
0.45,-1.7478836,-0.0064026313,1.0323819,-0.012490982,15,0.83267987,320.0,320.0,0.9
0.35,-2.075311,-0.008821312,1.0290661,-0.012827901,16,0.82480776,340.0,340.0,1.0
0.4,-2.2255547,-0.006180251,1.0231345,-0.01036474,17,0.8167436,360.0,360.0,0.95
0.5,-1.9784,-0.007736408,1.0201818,-0.011806421,18,0.8097039,380.0,380.0,1.0
0.45,-2.3139272,-0.003201006,1.0189245,-0.009894313,19,0.8040527,400.0,400.0,0.55
0.4,-1.8985412,-0.009499274,1.0148636,-0.012240694,20,0.7974911,420.0,420.0,1.0
0.35,-1.9734471,-0.008776143,1.0142046,-0.010755804,21,0.7933727,440.0,440.0,1.0
0.35,-2.5985017,-0.008878028,1.0120242,-0.010569215,22,0.7885017,460.0,460.0,0.95
0.35,-2.140357,-0.007894198,1.0108278,-0.01026584,23,0.7845325,480.0,480.0,0.9
0.35,-2.3370812,-0.014392345,1.0102987,-0.01187418,24,0.7811675,500.0,500.0,1.0
0.45,-2.071216,-0.020549634,1.0107906,-0.013825373,25,0.777924,520.0,520.0,1.0
0.45,-2.3503366,-0.02219696,1.0081654,-0.0141222775,26,0.7736784,540.0,540.0,1.0
0.45,-2.2107356,-0.020700283,1.0098968,-0.012667853,27,0.77160543,560.0,560.0,1.0
0.5,-2.2103982,-0.016204003,1.0092603,-0.011246723,28,0.7687743,580.0,580.0,1.0
0.25,-2.546417,-0.016349398,1.0079596,-0.010353422,29,0.76550484,600.0,600.0,1.0
